"","gene","color"
"640","FAGR_UCONN_03984","turquoise"
"641","FAGR_UCONN_12684","turquoise"
"642","FAGR_UCONN_12463","turquoise"
"643","FAGR_UCONN_02512","turquoise"
"644","FAGR_UCONN_01999","turquoise"
"645","FAGR_UCONN_13929","turquoise"
"646","FAGR_UCONN_04859","turquoise"
"647","FAGR_UCONN_32239","turquoise"
"648","FAGR_UCONN_20787","turquoise"
"649","FAGR_UCONN_16973","turquoise"
"650","FAGR_UCONN_31211","turquoise"
"651","FAGR_UCONN_23249","turquoise"
"652","FAGR_UCONN_22803","turquoise"
"653","FAGR_UCONN_17236","turquoise"
"654","FAGR_UCONN_32624","turquoise"
"655","FAGR_UCONN_09481","turquoise"
"656","FAGR_UCONN_01183","turquoise"
"657","FAGR_UCONN_27556","turquoise"
"658","FAGR_UCONN_13750","turquoise"
"659","FAGR_UCONN_32476","turquoise"
"660","FAGR_UCONN_04736","turquoise"
"661","FAGR_UCONN_24918","turquoise"
"662","FAGR_UCONN_31006","turquoise"
"663","FAGR_UCONN_13653","turquoise"
"664","FAGR_UCONN_20554","turquoise"
"665","FAGR_UCONN_17928","turquoise"
"666","FAGR_UCONN_29479","turquoise"
"667","FAGR_UCONN_26007","turquoise"
"668","FAGR_UCONN_17597","turquoise"
"669","FAGR_UCONN_00254","turquoise"
"670","FAGR_UCONN_27125","turquoise"
"671","FAGR_UCONN_28511","turquoise"
"672","FAGR_UCONN_04018","turquoise"
"673","FAGR_UCONN_23520","turquoise"
"674","FAGR_UCONN_13481","turquoise"
"675","FAGR_UCONN_27501","turquoise"
"676","FAGR_UCONN_29779","turquoise"
"677","FAGR_UCONN_18624","turquoise"
"678","FAGR_UCONN_08725","turquoise"
"679","FAGR_UCONN_14922","turquoise"
"680","FAGR_UCONN_32674","turquoise"
"681","FAGR_UCONN_11398","turquoise"
"682","FAGR_UCONN_28536","turquoise"
"683","FAGR_UCONN_28635","turquoise"
"684","FAGR_UCONN_26280","turquoise"
"685","FAGR_UCONN_12010","turquoise"
"686","FAGR_UCONN_00087","turquoise"
"687","FAGR_UCONN_19067","turquoise"
"688","FAGR_UCONN_21443","turquoise"
