"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_09376",0.921865582555602,5.6072412067212,32.3638209541758,1.27844670050378e-08,5.03417642509967e-07
"FAGR_UCONN_12930",0.774066723055183,6.70788857097149,32.3624289687797,1.27936282866871e-08,5.03417642509967e-07
"FAGR_UCONN_11921",-0.924040415502644,6.70671659701239,32.3437083744353,1.29174777270132e-08,5.07368517183339e-07
"FAGR_UCONN_16537",0.83384892218332,6.34078041257258,32.2917400656774,1.3267613613033e-08,5.2017698154576e-07
"FAGR_UCONN_10379",1.7233775800903,4.53881777609275,32.1901927939559,1.39794612882835e-08,5.47094938880708e-07
"FAGR_UCONN_23578",-1.64421814286383,3.41871585391048,32.1661127720453,1.41537992993115e-08,5.52917914143862e-07
"FAGR_UCONN_12695",0.852937087087325,6.53959329559585,32.1262533060767,1.44471786455178e-08,5.6336187431765e-07
"FAGR_UCONN_28150",-1.31690337807437,6.65858297614987,32.1070908532004,1.45903812562742e-08,5.67922717892601e-07
"FAGR_UCONN_27679",1.02001765591118,5.16310098246117,32.0591651523341,1.49547897813637e-08,5.81062047483434e-07
"FAGR_UCONN_29137",1.12095141127914,8.15613973323895,32.0220160478797,1.52435178209647e-08,5.91219019142147e-07
"FAGR_UCONN_24698",0.85644139746362,5.77998747784004,31.9972482607906,1.54391122947487e-08,5.97733932527642e-07
"FAGR_UCONN_26015",0.908420017450324,6.1670627039461,31.9897006477756,1.5499215074093e-08,5.98989308274145e-07
"FAGR_UCONN_26381",-2.76796402916205,3.82904660666265,31.9776043347669,1.55960290072889e-08,6.01656434537873e-07
"FAGR_UCONN_19895",1.02848743289927,4.61955548402115,31.959691883172,1.57405066918149e-08,6.06149547729998e-07
"FAGR_UCONN_28424",-2.02278012296539,2.93254639742435,31.9495484034082,1.58229153987047e-08,6.0824073722694e-07
"FAGR_UCONN_18150",1.07883743786178,6.74006013068645,31.9387921937073,1.59107742726996e-08,6.10533646825826e-07
"FAGR_UCONN_18073",-0.928707179842155,6.28951939274231,31.9288011374902,1.59928209188202e-08,6.12595805885143e-07
"FAGR_UCONN_27067",-0.95120170281003,11.9148655988689,31.883596931032,1.63693670084898e-08,6.25911379501301e-07
"FAGR_UCONN_28955",-1.55352345552518,7.42951018452354,31.8316479671649,1.6813076243805e-08,6.41743555676238e-07
"FAGR_UCONN_07791",1.03464655173689,4.62218496323369,31.7522248487283,1.75148508533526e-08,6.67352820718761e-07
"FAGR_UCONN_28902",1.89411828974295,7.90627149575701,31.7401944644027,1.76236793143875e-08,6.69290668525159e-07
"FAGR_UCONN_13024",-1.13125086826112,5.16960084119232,31.7397667111521,1.76275612724952e-08,6.69290668525159e-07
"FAGR_UCONN_28609",1.55555700258092,3.26245416277652,31.7308736830018,1.77084618180842e-08,6.71184817280172e-07
"FAGR_UCONN_14285",1.83848936855784,5.12722547116628,31.6998757879837,1.79933706155699e-08,6.80791130877909e-07
