"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_24123",0.362547866499802,7.22275611145071,17.4828628845844,2.89909164561633e-05,0.000400141207872631
"FAGR_UCONN_30776",-2.55779118886847,0.770644098261096,17.4793311379065,2.90448232308658e-05,0.00040062974146743
"FAGR_UCONN_21027",0.446761131820024,4.23858698657027,17.4729293945101,2.91427930779015e-05,0.000401725049549009
"FAGR_UCONN_11458",0.350188406198824,6.23449651963621,17.4630984864137,2.92938885314169e-05,0.000403304300135225
"FAGR_UCONN_25986",-0.339163959162713,4.48986140394346,17.4630504369978,2.92946289535428e-05,0.000403304300135225
"FAGR_UCONN_29026",0.418259220276338,5.69207206062908,17.4558027979154,2.94065277934721e-05,0.000404587459953162
"FAGR_UCONN_10361",0.571416390421448,3.39417209208744,17.4389540065184,2.9668325050129e-05,0.000407930044939575
"FAGR_UCONN_12936",-0.327361891125012,6.67674343756878,17.4267702638697,2.98590946969632e-05,0.00041029239836932
"FAGR_UCONN_28401",-0.607894432427262,4.56631726623197,17.422983984982,2.99186299062947e-05,0.000410849611949257
"FAGR_UCONN_13814",-0.45153602137899,3.24353546238917,17.3844742675883,3.05309732819826e-05,0.000418992595921793
"FAGR_UCONN_17057",0.245476126807477,6.42043584188266,17.3740220729773,3.06993363482964e-05,0.000421036145278727
"FAGR_UCONN_26221",-0.347286756838186,5.1693528643631,17.3592186016495,3.09393872834645e-05,0.000424059670417187
"FAGR_UCONN_14668",0.497585719054821,12.350608753486,17.3571047112347,3.0973819404958e-05,0.000424262911115254
"FAGR_UCONN_09567",0.373455513232058,5.14723140975229,17.3479311262686,3.11236901759813e-05,0.000426046111820739
"FAGR_UCONN_30662",0.375233794766607,5.94647543385701,17.3430708233089,3.12033890936897e-05,0.000426867096564875
"FAGR_UCONN_03412",-0.329789477460281,4.9688169739775,17.3288357345425,3.14379971866786e-05,0.000429537990138262
"FAGR_UCONN_32899",0.423507209997639,5.76136135016502,17.328816067705,3.14383225385365e-05,0.000429537990138262
"FAGR_UCONN_14904",0.333362404628776,8.12519182075764,17.3264402463309,3.1477651064866e-05,0.000429803990123552
"FAGR_UCONN_13219",-0.988898066967341,2.07152027290431,17.323874408031,3.15201806040092e-05,0.000430113334572489
"FAGR_UCONN_26752",0.386229366413639,5.95930450576334,17.3093867841785,3.17614032313737e-05,0.000433131876958657
"FAGR_UCONN_23899",-1.52489120293575,2.21367330693311,17.2499562344259,3.27705098803501e-05,0.000446269902770373
"FAGR_UCONN_03597",-0.440719222004446,5.87928250194965,17.2490963562164,3.27853443281197e-05,0.000446269902770373
"FAGR_UCONN_04299",-0.972587610882902,5.40889359296627,17.249019443659,3.27866715370526e-05,0.000446269902770373
"FAGR_UCONN_25352",-1.28802412451117,0.770679673143697,17.2455322212866,3.2846904073841e-05,0.000446808735365221
"FAGR_UCONN_15412",-0.831964898161341,1.48599064822358,17.2393333633513,3.29542476267929e-05,0.0004478935031753
"FAGR_UCONN_19641",0.748602410217334,7.69749298785752,17.2385382784205,3.29680413343616e-05,0.0004478935031753
"FAGR_UCONN_06479",-0.805845844066556,6.81897410427501,17.237076564512,3.29934153452673e-05,0.000447957023150737
"FAGR_UCONN_30911",-0.597710552650401,3.91085782793464,17.2198193598122,3.3294472543176e-05,0.000451761112714367
"FAGR_UCONN_16977",-0.364391260394995,6.28796707394271,17.2183486486215,3.33202568742092e-05,0.000451827693779221
"FAGR_UCONN_05810",-0.603908169045026,2.54972587291053,17.2145384465808,3.33871502646328e-05,0.000452451287430923
"FAGR_UCONN_17605",-1.33035947217353,1.59799043075504,17.2107139324656,3.34544306628509e-05,0.0004530793419308
"FAGR_UCONN_28059",0.64677851538769,4.16995285624516,17.197019166374,3.36964669336669e-05,0.000456071880787003
"FAGR_UCONN_23607",0.46920345661034,6.30366637795435,17.1950942967694,3.37306271561253e-05,0.00045624889557054
"FAGR_UCONN_13940",-1.23438051272124,1.86322862634998,17.1926249632365,3.37745008279665e-05,0.000456556993703217
"FAGR_UCONN_31332",-1.18071935052635,1.28383184548672,17.1828320216141,3.39490616013859e-05,0.000458630206727337
"FAGR_UCONN_11026",0.440554115336321,8.87294222782174,17.1721163261255,3.4141109800562e-05,0.00046093692969667
"FAGR_UCONN_08637",0.837114228836392,2.19033878047817,17.1698556637296,3.41817649865224e-05,0.000461198103390472
"FAGR_UCONN_29436",0.413628512379538,7.82113841544419,17.1556382315184,3.4438565398388e-05,0.000464089862630024
"FAGR_UCONN_29524",0.332864750871842,6.03810846153448,17.1556155824873,3.44389760365871e-05,0.000464089862630024
