"","logFC","logCPM","LR","PValue","FDR"
"FAGR_UCONN_08119",-1.8124979044351,0.0699914126733074,14.8780002610042,0.000114692802843608,0.000425249552705391
"FAGR_UCONN_14321",1.78206103504113,0.822115735885123,14.873858541177,0.000114944908036623,0.000426111288065877
"FAGR_UCONN_14262",-1.53649759374825,3.84488952865776,14.873345503098,0.000114976175305437,0.000426154202082596
"FAGR_UCONN_31617",-0.595592477934606,4.68829401236274,14.8726755617867,0.000115017017980817,0.000426232586154255
"FAGR_UCONN_18638",-2.29196343050443,-0.323690503655067,14.8693644815061,0.000115219091072697,0.00042690833230531
"FAGR_UCONN_08938",0.570622895106774,4.98169427767961,14.8511983261777,0.00011633413552125,0.000430965998108679
"FAGR_UCONN_04391",-1.76856898225565,0.350214938996366,14.8488353139536,0.000116479974095453,0.000431432414748212
"FAGR_UCONN_18088",1.92081001528196,0.740633041924108,14.8354037655086,0.000117312434940252,0.000434441430009741
"FAGR_UCONN_16367",0.579261040024678,4.62804870745923,14.83290103207,0.000117468210048276,0.000434943883980288
"FAGR_UCONN_06205",0.435979766164038,6.77933715691739,14.8224841438069,0.000118118817919871,0.000437278046086529
"FAGR_UCONN_22516",3.17960097475032,-0.657588975271951,14.8219763117146,0.000118150628166302,0.000437321001329761
"FAGR_UCONN_12958",0.887570167215109,5.77525984371638,14.8193452695783,0.000118315572925682,0.000437856639749932
"FAGR_UCONN_13695",-1.80518080149768,0.644106343209663,14.8140803616988,0.000118646335792206,0.000439005641855859
"FAGR_UCONN_20859",0.350059912038355,7.27685189040863,14.8102457642266,0.000118887826453077,0.000439823989760255
"FAGR_UCONN_04336",-3.16851668075214,-1.10266101876705,14.8074335141163,0.000119065247388603,0.00044040507331809
"FAGR_UCONN_08681",0.505635952217112,4.64339668390704,14.8057051529732,0.000119174419491097,0.000440733558890348
"FAGR_UCONN_16764",-0.848229437637244,4.83598233517785,14.7964515499059,0.000119760640490385,0.00044282586391473
"FAGR_UCONN_09299",-2.42855844659929,-0.226376348689521,14.7900234923852,0.000120169569299047,0.000444262012089165
"FAGR_UCONN_07521",-1.08530194837912,4.59139625064079,14.7895667329442,0.000120198680043907,0.000444293737576471
"FAGR_UCONN_14886",-1.18939240545891,1.77058635133864,14.7868300456232,0.000120373246651378,0.000444863012983116
"FAGR_UCONN_31360",-0.556009627332093,3.75655551163793,14.7780208337497,0.000120936899592273,0.00044686979357623
"FAGR_UCONN_31956",-0.519728682773711,5.9997128129137,14.7743646008211,0.000121171621289761,0.00044766067394213
"FAGR_UCONN_05910",-1.76946327320613,0.129901835873913,14.7722718647108,0.000121306176412346,0.000448081288601466
"FAGR_UCONN_08008",1.19823484813756,3.11451074114343,14.7647847382654,0.00012178880355375,0.000449787250257724
"FAGR_UCONN_33026",0.798913032381333,3.38827402731433,14.7559364885758,0.000122361662600216,0.00045182581504758
"FAGR_UCONN_07319",1.55203370751435,1.3897043959941,14.754297832028,0.000122468050859991,0.000452141514280439
"FAGR_UCONN_11253",1.29810133366469,2.30449838449006,14.7502294309154,0.00012273259079255,0.000453040888612035
"FAGR_UCONN_11726",-0.398404427832857,4.31112660462043,14.7490950522037,0.000122806454081508,0.000453236234521144
